Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_538.jpg;15;0;0;4.932055;123.3833;103.7058;359.9851;51.81754;1.189227
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_605.jpg;13.45953;0;0;4.902667;123.5617;103.939;0.02054252;53.76704;1.312225
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_673.jpg;10.46528;0;0;4.879037;123.7909;104.2528;-0.00190605;56.06074;1.283937
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_741.jpg;7.42344;0;0;4.852967;123.9542;104.4923;359.9813;57.38745;1.226529
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_807.jpg;7.401474;0;0;4.825264;124.1125;104.734;359.9679;58.41702;1.062529
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_874.jpg;10.43984;0;0;4.802475;124.3085;105.0637;359.9732;59.9417;1.117591
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_21_940.jpg;13.48066;0;0;4.783204;124.4475;105.3143;0.00843355;61.43639;1.230868
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_22_008.jpg;15;0;0;4.754538;124.5802;105.5655;359.9806;63.21178;1.240971
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_22_077.jpg;13.45881;0;0;4.727318;124.7448;105.9056;0.01475638;65.73607;1.216229
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_22_145.jpg;10.40646;0;0;4.707529;124.8594;106.1621;359.9882;67.45992;1.148072
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_22_212.jpg;7.418379;0;0;4.678972;124.965;106.4221;0.009985496;68.83442;1.148012
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_22_279.jpg;10.45105;0;0;4.661228;125.0953;106.7701;359.9887;70.53796;1.17422
C:\easy\robotics-nd-p1\data\IMG\robocam_2017_10_10_08_03_22_346.jpg;13.54124;0;0;4.630551;125.1845;107.0328;359.9897;72.03692;1.197308
